global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	std_dvars	dvars	framewise_displacement	rmsd	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
14358.754071843809	-674.937518706296	206173818.49569115	455540.6541574117	17716.76742809951	-2097.1661658392513	4398105.927140906	313883848.1013677	16510.556133138747	-204.03250719263087	41629.26399131097	272598463.8255255	16358.34625159092	0.642065	216.011414	1.0469927956498744	0.5962430533264016	-0.1222628669140419	0.0347419811983513	0.0149482086260407	0.0012070052575866	-0.0483979719929834	0.0602232599048023	0.0036268410335613	0.0023423636930336	0.2773996663403579	-0.2890779709168357	0.0769505748857418	0.0835660732693949	0.0055368732591512	0.0001070140010897	1.1451996429226372e-08	3.065696548790363e-05	0.0079092058175831	0.0049864009290613	2.4864194225344383e-05	6.255553666489034e-05	-0.0131728851737275	-0.0081655767424466	6.667664353678483e-05	0.0001735249038002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13802.628984247594	-556.1250875962141	190512566.87679175	309275.1130538969	15974.787431812772	-1741.9799962867364	3034494.3074631384	255193833.4916033	16195.984294101892	-314.5718390368547	98955.44191502884	262309907.25479516	16035.63014209062	0.618034	207.926514	0.5004140450127663	0.3010838418174597	-0.0291175677302533	0.0931452991837886	0.0008478327505258	0.0086760467600374	-0.0175717392925207	0.0308262327004627	0.000950256622503	0.0003087660217643	0.0096435379266779	-0.26775612841368	9.299782374327508e-05	0.0716933443030831	0.0064075596836662	0.000870686424515	7.580948498347152e-07	4.105682109974449e-05	0.0083356660841045	0.0004264602665214	1.8186835892150392e-07	6.948332906569005e-05	-0.0122963041704672	0.0008765810032602	7.683942552768333e-07	0.0001511990962526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13297.351041415037	-505.2779428325575	176819544.71862155	255305.7995131013	14487.4615706725	-1487.3258611402723	2212138.2172166533	209886542.7617125	15788.692797640544	-407.2914964613483	165886.36308972447	249282820.2582664	15631.315253380206	0.638907	214.948868	1.8364568914701973	0.9420279518623252	0.2694891175092948	0.2986066852395481	0.0726243844559384	0.0891659524697505	-0.1675648927077304	-0.1499931534152097	0.0224979460714386	0.0280779932681532	-0.1592064300606068	-0.1688499679872847	0.0253466873726428	0.028510311689307	0.0110794341817258	0.0046718744980596	2.182641132561964e-05	0.0001227538617871	0.0004379987103408	-0.0078976673737637	6.237314994661161e-05	1.9184287026020406e-07	-0.0004857043457274	0.0118105998247398	0.0001394902682201	2.359087114584817e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12942.150443250324	-355.2005981647126	167499258.09572455	126167.4649365696	13457.032386478952	-1030.4291841935485	1061784.3036377814	181091720.6507434	15430.597104473694	-358.09569316684974	128232.5254646466	238103327.00059196	15270.727832040382	0.636185	214.033264	0.8675200904845003	0.3864162482654557	0.2830939529609679	0.0136048354516731	0.0801421862030667	0.0001850915476671	-0.0453599009052254	0.1222049918025049	0.0149340600214503	0.0020575206101318	-0.336457504647214	-0.1772510745866072	0.11320365243343	0.0314179434421069	0.0078301637101339	-0.0032492704715918	1.0557758597559045e-05	6.13114637274979e-05	0.0034189630292924	0.0029809643189516	8.886148270862575e-06	1.1689308195668263e-05	-0.0053446533280582	-0.0048589489823308	2.360938521289352e-05	2.8565319197123592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12626.152022019794	-315.99842123052986	159419714.88315454	99855.00222018738	12587.076065528296	-869.9563209506559	756824.0003620007	158434483.87939528	15034.64466810342	-395.9524363702749	156778.33186755658	226040540.29613057	14875.29354082402	0.679882	228.734268	0.3996528841058873	0.2374792884277397	0.2983548343587188	0.0152608813977508	0.0890156071852185	0.0002328945010362	-0.0104578477787242	0.0349020531265012	0.0012181533124451	0.0001093665801629	-0.5318429843494243	-0.1953854797022103	0.282856960001702	0.0381754856784628	0.0087060031769764	0.0008758394668424	7.67094771678952e-07	7.579449131752315e-05	0.005237524425556	0.0018185613962635	3.307165551980214e-06	2.7431662108295703e-05	-0.0057323418625406	-0.0003876885344823	1.50302399769111e-07	3.2859743229035436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12321.646594539952	-304.5054274798422	151822974.800738	92723.55536468142	11782.395987033327	-804.6800784949683	647510.0287266683	138824855.19525906	14772.955606855305	-261.68906124811474	68481.16477691954	218240217.3621176	14629.569762892488	0.748382	251.7798	1.945567109338238	0.9156630462109916	0.1167008794792536	-0.1816539548794651	0.0136190952712312	0.0329981593233507	0.1000013310465419	0.1104591788252661	0.0122012301867521	0.01000026621108	-0.6590260905209959	-0.1271831061715715	0.4343153879873879	0.0161755424954492	-0.0026385036664153	-0.0113445068433917	0.0001286978355197	6.961701597686981e-06	-0.0021278756837526	-0.0073654001093086	5.4249118770203133e-05	4.527854925505596e-06	0.0060831685739978	0.0118155104365384	0.0001396062868759	3.700493989967443e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12026.58598189495	-295.06061264500204	144638770.37991214	87060.76513444394	11200.265396998251	-582.1305900350762	338876.023854586	125445944.9631964	14249.384063243542	-523.5715436117625	274127.1612800038	203044946.18181905	14127.450286594109	0.768915	258.687805	0.7804929681338549	0.4012991659218646	-0.0055488604350273	-0.1222497399142809	3.078985212741136e-05	0.0149449989091093	0.1900078237929676	0.0900064927464257	0.0081011687365123	0.0361029731025394	-0.7230080125439144	-0.0639819220229185	0.5227405862027011	0.0040936863457468	-0.0098786341006949	-0.0072401304342795	5.24194887053817e-05	9.758741169541212e-05	-0.0033554573109551	-0.0012275816272024	1.5069566514451371e-06	1.125909376564203e-05	0.0044657843664753	-0.0016173842075224	2.615931674743184e-06	1.99432300078552e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
11712.562646763336	-314.02333513161466	137184123.75435576	98610.65500718236	10553.17195686469	-647.0934401335617	418729.9202638874	111369438.3511553	13873.850300755072	-375.5337624884706	141025.606768747	192483722.1677616	13738.49610566821	0.786255	264.52182	1.661487940980296	0.8621010352940666	-0.1783410712361899	-0.1727922108011625	0.0318055376896717	0.0298571481135534	0.2024431670548949	0.0124353432619273	0.0001546377620419	0.040983235887216	-1.1779316275930256	-0.4549236150491111	1.3875229192839544	0.2069554955293518	-0.0014857007826239	0.0083929333180709	7.044132968158626e-05	2.2073068154892694e-06	-0.0007114097541489	0.0026440475568061	6.990987482652834e-06	5.061038382981983e-07	-0.0049239701960094	-0.0093897545624847	8.816749074370226e-05	2.424548249118885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
11524.866113434302	-187.69653332903363	132822538.93258628	35229.98862373703	10145.933437533222	-407.2385193314676	165843.21162728613	102939965.3188547	13531.559972052692	-342.29032870238007	117162.6691231834	183103115.27725863	13406.96297715759	0.831859	279.864227	0.7126190287181282	0.3411244499618605	0.126617466451222	0.3049585376874119	0.0160319828105263	0.0929997097084446	0.2902141929758102	0.0877710259209152	0.0077037529912099	0.0842242778046008	-1.2918150609681192	-0.1138834333750935	1.6687861517440654	0.0129694363972993	-6.381284549695143e-05	0.0014218879371269	2.0217653057471297e-06	4.072079250417794e-09	0.0013580986832899	0.0020695084374388	4.282865172630383e-06	1.84443203355376e-06	-0.004295245935881	0.0006287242601284	3.952941952740045e-07	1.8449137649702247e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
11287.386612025482	-237.4795014088195	127405096.5293321	56396.513589381495	9661.298136286268	-484.63530124695353	234871.3752147254	93340681.67820852	13278.501738550594	-253.0582335020972	64038.46954320196	176318608.42069116	13141.680701461017	0.887625	298.625793	0.8836815549723402	0.4185224480144398	0.3479857036437295	0.2213682371925075	0.1210940499404215	0.0490038964377182	0.2047013000244817	-0.0855128929513285	0.0073124548609053	0.0419026222317128	-1.480034744933377	-0.1882196839652579	2.1905028462100065	0.0354266494319815	0.003187249966311	0.0032510628118079	1.0569409406320624e-05	1.015856234774947e-05	0.0011273197636065	-0.0002307789196834	5.32589097702372e-08	1.270849849417815e-06	-5.472850107424631e-06	0.0042897730857735	1.840215312742734e-05	2.99520882983378e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
